"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Households receiving food stamps/SNAP!!Estimate","Boston city, Massachusetts!!Households receiving food stamps/SNAP!!Margin of Error","Boston city, Massachusetts!!Percent households receiving food stamps/SNAP!!Estimate","Boston city, Massachusetts!!Percent households receiving food stamps/SNAP!!Margin of Error","Boston city, Massachusetts!!Households not receiving food stamps/SNAP!!Estimate","Boston city, Massachusetts!!Households not receiving food stamps/SNAP!!Margin of Error","Boston city, Massachusetts!!Percent households not receiving food stamps/SNAP!!Estimate","Boston city, Massachusetts!!Percent households not receiving food stamps/SNAP!!Margin of Error"
"Households","271,941","±4,553","(X)","(X)","54,633","±4,059","20.1%","±1.5","217,308","±5,585","79.9%","±1.5"
"    With one or more people in the household 60 years and over","85,631","±3,391","31.5%","±1.0","23,253","±2,822","42.6%","±3.7","62,378","±3,182","28.7%","±1.2"
"    No people in the household 60 years and over","186,310","±3,674","68.5%","±1.0","31,380","±2,892","57.4%","±3.7","154,930","±4,569","71.3%","±1.2"
"    HOUSEHOLD TYPE","","","","","","","","","","","",""
"    Married-couple family","74,624","±4,000","27.4%","±1.4","11,521","±1,947","21.1%","±3.4","63,103","±3,830","29.0%","±1.5"
"    Other family:","46,912","±3,070","17.3%","±1.1","21,932","±2,337","40.1%","±3.5","24,980","±2,607","11.5%","±1.1"
"        Male householder, no spouse present","10,437","±1,830","3.8%","±0.7","2,648","±901","4.8%","±1.6","7,789","±1,656","3.6%","±0.8"
"        Female householder, no spouse present","36,475","±2,744","13.4%","±1.0","19,284","±2,295","35.3%","±3.5","17,191","±2,259","7.9%","±1.0"
"    Nonfamily households","150,405","±4,738","55.3%","±1.5","21,180","±2,827","38.8%","±3.6","129,225","±4,418","59.5%","±1.7"
"    With children under 18 years","54,072","±3,313","19.9%","±1.2","21,693","±2,314","39.7%","±3.7","32,379","±2,720","14.9%","±1.1"
"        Married-couple family","27,651","±2,710","10.2%","±1.0","6,782","±1,456","12.4%","±2.6","20,869","±2,329","9.6%","±1.0"
"        Other family:","25,832","±2,276","9.5%","±0.8","14,830","±1,978","27.1%","±3.4","11,002","±1,579","5.1%","±0.7"
"            Male householder, no spouse present","3,848","±1,110","1.4%","±0.4","1,434","±748","2.6%","±1.4","2,414","±823","1.1%","±0.4"
"            Female householder, no spouse present","21,984","±2,109","8.1%","±0.8","13,396","±1,907","24.5%","±3.3","8,588","±1,437","4.0%","±0.6"
"        Nonfamily households","589","±634","0.2%","±0.2","81","±137","0.1%","±0.3","508","±622","0.2%","±0.3"
"    No children under 18 years","217,869","±5,278","80.1%","±1.2","32,940","±3,512","60.3%","±3.7","184,929","±5,124","85.1%","±1.1"
"        Married-couple family","46,973","±3,656","17.3%","±1.3","4,739","±1,174","8.7%","±2.2","42,234","±3,476","19.4%","±1.5"
"        Other family:","21,080","±2,278","7.8%","±0.8","7,102","±1,578","13.0%","±2.6","13,978","±1,889","6.4%","±0.8"
"            Male householder, no spouse present","6,589","±1,333","2.4%","±0.5","1,214","±602","2.2%","±1.1","5,375","±1,259","2.5%","±0.6"
"            Female householder, no spouse present","14,491","±2,048","5.3%","±0.7","5,888","±1,483","10.8%","±2.5","8,603","±1,551","4.0%","±0.7"
"        Nonfamily households","149,816","±4,620","55.1%","±1.5","21,099","±2,843","38.6%","±3.7","128,717","±4,242","59.2%","±1.7"
"    POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","","","",""
"        Below poverty level","52,942","±3,574","19.5%","±1.3","26,602","±2,938","48.7%","±4.0","26,340","±2,000","12.1%","±0.9"
"        At or above  poverty level","218,999","±4,971","80.5%","±1.3","28,031","±3,031","51.3%","±4.0","190,968","±5,499","87.9%","±0.9"
"    DISABILITY STATUS","","","","","","","","","","","",""
"        With one or more people with a disability","59,469","±3,864","21.9%","±1.4","25,647","±2,984","46.9%","±4.0","33,822","±3,041","15.6%","±1.4"
"        With no persons with a disability","212,472","±5,525","78.1%","±1.4","28,986","±2,931","53.1%","±4.0","183,486","±5,806","84.4%","±1.4"
"    RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","",""
"        White alone","142,391","±4,286","52.4%","±1.3","11,188","±1,834","20.5%","±3.0","131,203","±4,136","60.4%","±1.6"
"        Black or African American alone","48,660","±2,861","17.9%","±1.1","16,583","±2,474","30.4%","±3.3","32,077","±2,475","14.8%","±1.1"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","26,373","±2,387","9.7%","±0.9","5,827","±1,069","10.7%","±1.9","20,546","±2,160","9.5%","±1.0"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","16,554","±2,067","6.1%","±0.8","7,492","±1,447","13.7%","±2.6","9,062","±1,621","4.2%","±0.7"
"        Two or more races","37,390","±3,188","13.7%","±1.1","13,378","±2,042","24.5%","±3.5","24,012","±2,949","11.0%","±1.2"
"        Hispanic or Latino origin (of any race)","45,075","±2,651","16.6%","±0.9","19,023","±1,887","34.8%","±3.1","26,052","±2,724","12.0%","±1.1"
"        White alone, not Hispanic or Latino","138,402","±4,175","50.9%","±1.2","9,693","±1,761","17.7%","±2.8","128,709","±4,125","59.2%","±1.6"
