"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"Total population","694,295","±3,415","(X)","(X)","332,153","±3,022","(X)","(X)","362,142","±3,172","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","32,567","±1,879","4.7%","±0.3","15,528","±1,401","4.7%","±0.4","17,039","±1,181","4.7%","±0.3"
"        5 to 9 years","27,002","±2,416","3.9%","±0.3","12,549","±1,768","3.8%","±0.5","14,453","±2,174","4.0%","±0.6"
"        10 to 14 years","30,569","±2,486","4.4%","±0.4","15,698","±1,855","4.7%","±0.6","14,871","±1,959","4.1%","±0.5"
"        15 to 19 years","45,460","±2,285","6.5%","±0.3","21,973","±1,242","6.6%","±0.4","23,487","±1,864","6.5%","±0.5"
"        20 to 24 years","73,347","±2,178","10.6%","±0.3","34,075","±967","10.3%","±0.3","39,272","±1,692","10.8%","±0.5"
"        25 to 29 years","94,033","±2,343","13.5%","±0.3","46,932","±1,388","14.1%","±0.4","47,101","±1,380","13.0%","±0.4"
"        30 to 34 years","75,168","±1,894","10.8%","±0.3","37,387","±1,378","11.3%","±0.4","37,781","±1,173","10.4%","±0.3"
"        35 to 39 years","50,666","±2,718","7.3%","±0.4","25,706","±2,394","7.7%","±0.7","24,960","±1,810","6.9%","±0.5"
"        40 to 44 years","38,269","±2,585","5.5%","±0.4","19,627","±2,289","5.9%","±0.7","18,642","±1,684","5.1%","±0.5"
"        45 to 49 years","36,574","±1,569","5.3%","±0.2","16,988","±989","5.1%","±0.3","19,586","±947","5.4%","±0.3"
"        50 to 54 years","36,907","±1,667","5.3%","±0.2","17,523","±940","5.3%","±0.3","19,384","±1,097","5.4%","±0.3"
"        55 to 59 years","36,752","±2,697","5.3%","±0.4","17,183","±1,826","5.2%","±0.5","19,569","±1,788","5.4%","±0.5"
"        60 to 64 years","33,325","±2,498","4.8%","±0.4","16,151","±1,686","4.9%","±0.5","17,174","±1,667","4.7%","±0.5"
"        65 to 69 years","25,476","±2,219","3.7%","±0.3","11,605","±1,284","3.5%","±0.4","13,871","±1,616","3.8%","±0.5"
"        70 to 74 years","22,255","±2,428","3.2%","±0.3","9,393","±1,369","2.8%","±0.4","12,862","±1,712","3.6%","±0.5"
"        75 to 79 years","14,182","±2,094","2.0%","±0.3","6,246","±1,151","1.9%","±0.3","7,936","±1,597","2.2%","±0.4"
"        80 to 84 years","8,523","±1,645","1.2%","±0.2","3,590","±964","1.1%","±0.3","4,933","±1,213","1.4%","±0.3"
"        85 years and over","13,220","±1,825","1.9%","±0.3","3,999","±1,128","1.2%","±0.3","9,221","±1,505","2.5%","±0.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","57,571","±2,121","8.3%","±0.3","28,247","±1,396","8.5%","±0.4","29,324","±1,519","8.1%","±0.4"
"        15 to 17 years","16,959","±1,105","2.4%","±0.2","8,567","±876","2.6%","±0.3","8,392","±893","2.3%","±0.2"
"        Under 18 years","107,097","±2,911","15.4%","±0.4","52,342","±2,089","15.8%","±0.6","54,755","±2,138","15.1%","±0.5"
"        18 to 24 years","101,848","±1,634","14.7%","±0.2","47,481","±1,073","14.3%","±0.3","54,367","±1,060","15.0%","±0.3"
"        15 to 44 years","376,943","±3,952","54.3%","±0.5","185,700","±2,797","55.9%","±0.7","191,243","±2,369","52.8%","±0.6"
"        16 years and over","598,649","±4,226","86.2%","±0.5","285,103","±3,143","85.8%","±0.6","313,546","±2,918","86.6%","±0.5"
"        18 years and over","587,198","±3,755","84.6%","±0.4","279,811","±2,744","84.2%","±0.6","307,387","±2,626","84.9%","±0.5"
"        21 years and over","540,829","±4,935","77.9%","±0.6","258,219","±3,194","77.7%","±0.9","282,610","±3,601","78.0%","±0.9"
"        60 years and over","116,981","±3,674","16.8%","±0.5","50,984","±2,307","15.3%","±0.7","65,997","±2,303","18.2%","±0.6"
"        62 years and over","104,270","±3,519","15.0%","±0.5","44,282","±2,030","13.3%","±0.6","59,988","±2,317","16.6%","±0.6"
"        65 years and over","83,656","±2,453","12.0%","±0.3","34,833","±1,340","10.5%","±0.4","48,823","±1,540","13.5%","±0.4"
"        75 years and over","35,925","±1,334","5.2%","±0.2","13,835","±824","4.2%","±0.3","22,090","±849","6.1%","±0.2"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","32.6","±0.3","(X)","(X)","32.3","±0.4","(X)","(X)","32.8","±0.3","(X)","(X)"
"        Sex ratio (males per 100 females)","91.7","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","37.9","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","16.6","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","21.3","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
