"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"Total population","695,926","±3,776","(X)","(X)","333,815","±2,764","(X)","(X)","362,111","±3,240","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","35,393","±1,419","5.1%","±0.2","17,036","±991","5.1%","±0.3","18,357","±1,070","5.1%","±0.3"
"        5 to 9 years","29,893","±2,507","4.3%","±0.4","16,010","±1,808","4.8%","±0.5","13,883","±1,918","3.8%","±0.5"
"        10 to 14 years","28,224","±2,746","4.1%","±0.4","14,021","±1,802","4.2%","±0.5","14,203","±2,065","3.9%","±0.6"
"        15 to 19 years","47,565","±1,769","6.8%","±0.3","22,887","±989","6.9%","±0.3","24,678","±1,539","6.8%","±0.4"
"        20 to 24 years","72,357","±1,453","10.4%","±0.2","35,080","±953","10.5%","±0.3","37,277","±1,083","10.3%","±0.3"
"        25 to 29 years","97,027","±1,304","13.9%","±0.2","47,990","±917","14.4%","±0.3","49,037","±1,116","13.5%","±0.3"
"        30 to 34 years","74,771","±1,963","10.7%","±0.3","36,146","±1,459","10.8%","±0.4","38,625","±946","10.7%","±0.3"
"        35 to 39 years","50,941","±3,182","7.3%","±0.5","27,030","±2,113","8.1%","±0.6","23,911","±2,039","6.6%","±0.6"
"        40 to 44 years","35,594","±2,787","5.1%","±0.4","15,856","±1,660","4.7%","±0.5","19,738","±2,094","5.5%","±0.6"
"        45 to 49 years","35,567","±1,843","5.1%","±0.3","17,016","±1,085","5.1%","±0.3","18,551","±1,178","5.1%","±0.3"
