"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error"
"Total population","656,051","±2,875","316,075","±2,246","339,976","±2,867"
"AGE","","","","","",""
"    Under 5 years","5.3%","±0.2","5.6%","±0.3","5.1%","±0.2"
"    5 to 9 years","4.5%","±0.3","4.8%","±0.5","4.2%","±0.4"
"    10 to 14 years","4.2%","±0.3","4.5%","±0.5","3.9%","±0.4"
"    15 to 19 years","7.3%","±0.2","7.1%","±0.3","7.5%","±0.3"
"    20 to 24 years","11.0%","±0.3","11.0%","±0.3","11.0%","±0.4"
"    25 to 29 years","13.8%","±0.3","14.4%","±0.3","13.3%","±0.4"
"    30 to 34 years","9.8%","±0.2","10.0%","±0.3","9.6%","±0.3"
"    35 to 39 years","6.4%","±0.4","6.3%","±0.6","6.6%","±0.5"
"    40 to 44 years","6.1%","±0.4","6.3%","±0.6","5.9%","±0.5"
"    45 to 49 years","5.6%","±0.2","5.7%","±0.3","5.6%","±0.2"
"    50 to 54 years","5.6%","±0.2","5.7%","±0.3","5.5%","±0.3"
"    55 to 59 years","5.2%","±0.3","5.5%","±0.5","5.0%","±0.4"
"    60 to 64 years","4.7%","±0.3","4.1%","±0.5","5.3%","±0.5"
"    65 to 69 years","3.3%","±0.3","3.2%","±0.3","3.4%","±0.3"
"    70 to 74 years","2.5%","±0.3","2.2%","±0.3","2.7%","±0.3"
"    75 to 79 years","1.8%","±0.2","1.5%","±0.2","1.9%","±0.3"
"    80 to 84 years","1.4%","±0.2","1.1%","±0.2","1.7%","±0.3"
"    85 years and over","1.5%","±0.2","1.0%","±0.2","1.9%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","8.7%","±0.3","9.3%","±0.3","8.1%","±0.4"
"    15 to 17 years","2.5%","±0.1","2.7%","±0.2","2.4%","±0.2"
"    18 to 24 years","15.8%","±0.3","15.5%","±0.4","16.0%","±0.3"
"    15 to 44 years","54.5%","±0.4","55.1%","±0.6","53.8%","±0.5"
"    16 years and over","85.1%","±0.4","84.2%","±0.5","85.9%","±0.5"
"    18 years and over","83.5%","±0.4","82.4%","±0.5","84.4%","±0.5"
"    60 years and over","15.1%","±0.5","13.1%","±0.6","16.9%","±0.6"
"    62 years and over","13.1%","±0.5","11.3%","±0.6","14.7%","±0.6"
"    65 years and over","10.3%","±0.3","9.0%","±0.3","11.6%","±0.4"
"    75 years and over","4.6%","±0.2","3.6%","±0.2","5.6%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.7","±0.3","30.9","±0.3","32.4","±0.3"
"    Sex ratio (males per 100 females)","93.0","±1.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","36.8","±0.7","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","14.1","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","22.6","±0.6","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
