"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","435,623","±6,327","435,623","±6,327","213,249","±3,851","213,249","±3,851","222,374","±3,696","222,374","±3,696"
"    Median earnings (dollars)","41,125","±705","(X)","(X)","45,061","±2,701","(X)","(X)","37,276","±2,058","(X)","(X)"
"    FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","260,792","±6,291","260,792","±6,291","134,093","±4,311","134,093","±4,311","126,699","±4,116","126,699","±4,116"
"        $1 to $9,999 or loss","3,129","±1,103","1.2%","±0.4","1,585","±777","1.2%","±0.6","1,544","±688","1.2%","±0.5"
"        $10,000 to $14,999","2,961","±909","1.1%","±0.4","1,608","±748","1.2%","±0.6","1,353","±600","1.1%","±0.5"
"        $15,000 to $24,999","16,046","±2,209","6.2%","±0.8","7,621","±1,601","5.7%","±1.1","8,425","±1,776","6.6%","±1.4"
"        $25,000 to $34,999","29,006","±3,290","11.1%","±1.2","12,780","±2,069","9.5%","±1.5","16,226","±2,210","12.8%","±1.7"
"        $35,000 to $49,999","47,654","±4,041","18.3%","±1.5","23,074","±3,114","17.2%","±2.1","24,580","±2,448","19.4%","±1.8"
"        $50,000 to $64,999","44,873","±3,392","17.2%","±1.3","23,682","±2,532","17.7%","±1.9","21,191","±2,487","16.7%","±2.0"
"        $65,000 to $74,999","18,040","±2,179","6.9%","±0.8","8,305","±1,579","6.2%","±1.2","9,735","±1,430","7.7%","±1.1"
"        $75,000 to $99,999","37,810","±3,416","14.5%","±1.2","18,532","±2,125","13.8%","±1.5","19,278","±2,251","15.2%","±1.8"
"        $100,000 or more","61,273","±3,635","23.5%","±1.3","36,906","±2,422","27.5%","±1.7","24,367","±2,539","19.2%","±1.9"
"        Median earnings (dollars) for full-time, year-round workers with earnings","60,637","±603","(X)","(X)","61,873","±911","(X)","(X)","57,342","±2,198","(X)","(X)"
"        Mean earnings (dollars) for full-time, year-round workers with earnings","83,904","±2,672","(X)","(X)","95,348","±4,978","(X)","(X)","71,793","±2,331","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","50,176","±1,565","(X)","(X)","51,975","±870","(X)","(X)","44,775","±2,048","(X)","(X)"
"        Less than high school graduate","23,728","±2,673","(X)","(X)","26,134","±4,279","(X)","(X)","21,104","±1,712","(X)","(X)"
"        High school graduate (includes equivalency)","32,176","±2,742","(X)","(X)","37,689","±3,720","(X)","(X)","27,292","±2,784","(X)","(X)"
"        Some college or associate's degree","36,695","±4,464","(X)","(X)","41,550","±2,402","(X)","(X)","31,801","±2,785","(X)","(X)"
"        Bachelor's degree","61,082","±1,077","(X)","(X)","63,037","±4,341","(X)","(X)","57,281","±3,559","(X)","(X)"
"        Graduate or professional degree","76,923","±3,263","(X)","(X)","91,211","±4,420","(X)","(X)","68,757","±3,509","(X)","(X)"
