"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error"
"Total population","669,469","±2,608","322,149","±2,567","347,320","±2,946"
"AGE","","","","","",""
"    Under 5 years","5.6%","±0.2","6.1%","±0.3","5.1%","±0.3"
"    5 to 9 years","4.2%","±0.3","4.1%","±0.5","4.3%","±0.5"
"    10 to 14 years","4.3%","±0.3","4.6%","±0.5","4.1%","±0.4"
"    15 to 19 years","7.0%","±0.2","7.0%","±0.2","7.0%","±0.2"
"    20 to 24 years","10.5%","±0.2","10.7%","±0.3","10.4%","±0.3"
"    25 to 29 years","13.9%","±0.2","14.3%","±0.3","13.5%","±0.3"
"    30 to 34 years","10.1%","±0.2","10.3%","±0.4","9.9%","±0.2"
"    35 to 39 years","7.1%","±0.4","7.2%","±0.6","7.1%","±0.5"
"    40 to 44 years","5.6%","±0.5","5.6%","±0.6","5.5%","±0.6"
"    45 to 49 years","5.5%","±0.2","5.6%","±0.3","5.5%","±0.3"
"    50 to 54 years","5.6%","±0.2","5.6%","±0.3","5.6%","±0.3"
"    55 to 59 years","5.2%","±0.3","5.1%","±0.5","5.4%","±0.5"
"    60 to 64 years","4.7%","±0.4","4.6%","±0.5","4.7%","±0.5"
"    65 to 69 years","3.6%","±0.3","3.2%","±0.3","3.9%","±0.4"
"    70 to 74 years","2.6%","±0.2","2.6%","±0.3","2.6%","±0.3"
"    75 to 79 years","1.6%","±0.2","1.5%","±0.3","1.7%","±0.3"
"    80 to 84 years","1.3%","±0.2","1.0%","±0.2","1.6%","±0.3"
"    85 years and over","1.5%","±0.2","0.9%","±0.2","2.1%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","8.5%","±0.3","8.6%","±0.5","8.4%","±0.3"
"    15 to 17 years","2.6%","±0.1","2.8%","±0.2","2.5%","±0.1"
"    18 to 24 years","14.9%","±0.2","14.9%","±0.3","14.9%","±0.3"
"    15 to 44 years","54.3%","±0.4","55.2%","±0.6","53.4%","±0.5"
"    16 years and over","84.9%","±0.4","84.3%","±0.6","85.5%","±0.5"
"    18 years and over","83.3%","±0.4","82.5%","±0.6","84.0%","±0.4"
"    60 years and over","15.3%","±0.5","13.8%","±0.7","16.6%","±0.7"
"    62 years and over","13.4%","±0.4","12.0%","±0.6","14.7%","±0.6"
"    65 years and over","10.6%","±0.3","9.2%","±0.4","11.9%","±0.4"
"    75 years and over","4.4%","±0.2","3.4%","±0.2","5.4%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.8","±0.3","31.2","±0.4","32.4","±0.3"
"    Sex ratio (males per 100 females)","92.8","±1.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","37.6","±0.7","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","14.6","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","23.0","±0.6","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.2%","(X)","(X)","(X)","(X)","(X)"
