"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error"
"Total population","672,840","±3,173","323,186","±2,766","349,654","±2,443"
"AGE","","","","","",""
"    Under 5 years","5.2%","±0.2","5.4%","±0.3","5.0%","±0.3"
"    5 to 9 years","4.2%","±0.4","4.5%","±0.5","4.0%","±0.5"
"    10 to 14 years","4.2%","±0.3","4.4%","±0.5","4.0%","±0.5"
"    15 to 19 years","7.3%","±0.3","7.3%","±0.5","7.3%","±0.3"
"    20 to 24 years","10.3%","±0.3","10.1%","±0.5","10.4%","±0.3"
"    25 to 29 years","13.8%","±0.3","14.3%","±0.3","13.4%","±0.3"
"    30 to 34 years","10.5%","±0.3","11.1%","±0.3","10.0%","±0.3"
"    35 to 39 years","6.6%","±0.4","6.7%","±0.6","6.5%","±0.6"
"    40 to 44 years","5.8%","±0.5","6.2%","±0.6","5.5%","±0.6"
"    45 to 49 years","5.4%","±0.2","5.4%","±0.3","5.4%","±0.3"
"    50 to 54 years","5.5%","±0.2","5.5%","±0.4","5.5%","±0.2"
"    55 to 59 years","5.5%","±0.3","5.0%","±0.5","5.9%","±0.5"
"    60 to 64 years","4.7%","±0.4","4.7%","±0.5","4.6%","±0.5"
"    65 to 69 years","3.6%","±0.2","3.4%","±0.3","3.7%","±0.3"
"    70 to 74 years","2.8%","±0.2","2.6%","±0.3","3.0%","±0.4"
"    75 to 79 years","1.8%","±0.2","1.6%","±0.3","2.1%","±0.3"
"    80 to 84 years","1.2%","±0.2","1.0%","±0.2","1.5%","±0.3"
"    85 years and over","1.6%","±0.2","1.0%","±0.2","2.2%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","8.4%","±0.3","8.8%","±0.4","8.0%","±0.4"
"    15 to 17 years","2.5%","±0.1","2.5%","±0.2","2.5%","±0.2"
"    18 to 24 years","15.0%","±0.2","14.8%","±0.3","15.2%","±0.3"
"    15 to 44 years","54.3%","±0.4","55.7%","±0.6","53.1%","±0.4"
"    16 years and over","85.5%","±0.3","84.8%","±0.5","86.2%","±0.5"
"    18 years and over","83.9%","±0.4","83.2%","±0.5","84.5%","±0.5"
"    60 years and over","15.7%","±0.4","14.2%","±0.6","17.1%","±0.6"
"    62 years and over","13.8%","±0.4","12.6%","±0.6","15.0%","±0.5"
"    65 years and over","11.0%","±0.3","9.5%","±0.3","12.5%","±0.4"
"    75 years and over","4.7%","±0.2","3.6%","±0.2","5.8%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.1","±0.3","31.5","±0.3","32.6","±0.3"
"    Sex ratio (males per 100 females)","92.4","±1.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","37.3","±0.7","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","15.2","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","22.2","±0.6","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
