"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error"
"Total population","644,710","±3,772","308,191","±3,436","336,519","±3,041"
"AGE","","","","","",""
"    Under 5 years","5.4%","±0.2","5.7%","±0.3","5.1%","±0.2"
"    5 to 9 years","4.1%","±0.3","4.4%","±0.5","3.9%","±0.5"
"    10 to 14 years","4.4%","±0.3","4.5%","±0.5","4.3%","±0.5"
"    15 to 19 years","7.4%","±0.3","7.6%","±0.3","7.3%","±0.3"
"    20 to 24 years","11.6%","±0.3","11.5%","±0.4","11.7%","±0.3"
"    25 to 29 years","13.2%","±0.3","13.7%","±0.4","12.8%","±0.4"
"    30 to 34 years","9.4%","±0.3","9.3%","±0.5","9.6%","±0.3"
"    35 to 39 years","6.7%","±0.4","6.9%","±0.6","6.6%","±0.5"
"    40 to 44 years","6.0%","±0.4","6.3%","±0.6","5.7%","±0.6"
"    45 to 49 years","5.7%","±0.2","5.9%","±0.3","5.5%","±0.2"
"    50 to 54 years","5.4%","±0.2","5.4%","±0.3","5.5%","±0.2"
"    55 to 59 years","5.4%","±0.3","5.2%","±0.4","5.7%","±0.5"
"    60 to 64 years","4.5%","±0.3","4.6%","±0.5","4.4%","±0.5"
"    65 to 69 years","3.3%","±0.3","3.2%","±0.4","3.4%","±0.3"
"    70 to 74 years","2.5%","±0.2","2.3%","±0.4","2.7%","±0.3"
"    75 to 79 years","1.8%","±0.3","1.6%","±0.3","2.0%","±0.4"
"    80 to 84 years","1.4%","±0.2","1.0%","±0.2","1.8%","±0.3"
"    85 years and over","1.5%","±0.2","1.0%","±0.3","2.0%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","8.5%","±0.3","8.8%","±0.4","8.2%","±0.3"
"    15 to 17 years","2.7%","±0.1","2.9%","±0.1","2.4%","±0.2"
"    18 to 24 years","16.4%","±0.3","16.2%","±0.4","16.6%","±0.3"
"    15 to 44 years","54.5%","±0.4","55.3%","±0.5","53.7%","±0.5"
"    16 years and over","85.0%","±0.4","84.5%","±0.5","85.6%","±0.4"
"    18 years and over","83.4%","±0.3","82.5%","±0.5","84.3%","±0.4"
"    60 years and over","15.1%","±0.5","13.7%","±0.6","16.3%","±0.6"
"    62 years and over","13.2%","±0.5","11.9%","±0.5","14.3%","±0.6"
"    65 years and over","10.6%","±0.3","9.1%","±0.4","11.9%","±0.4"
"    75 years and over","4.7%","±0.2","3.6%","±0.2","5.8%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.7","±0.3","31.2","±0.3","32.2","±0.4"
"    Sex ratio (males per 100 females)","91.6","±1.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","37.3","±0.7","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","14.5","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","22.8","±0.6","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.0%","(X)","(X)","(X)","(X)","(X)"
