"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"Population 16 years and over with earnings","433,402","±5,959","433,402","±5,959","215,348","±4,063","215,348","±4,063","218,054","±4,620","218,054","±4,620"
"Median earnings (dollars)","38,884","±2,638","(X)","(X)","41,776","±1,381","(X)","(X)","35,067","±1,545","(X)","(X)"
"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS","271,757","±6,763","271,757","±6,763","144,507","±4,737","144,507","±4,737","127,250","±4,390","127,250","±4,390"
"    $1 to $9,999 or loss","4,382","±1,170","1.6%","±0.4","2,174","±719","1.5%","±0.5","2,208","±747","1.7%","±0.6"
"    $10,000 to $14,999","4,440","±1,256","1.6%","±0.5","1,799","±767","1.2%","±0.5","2,641","±871","2.1%","±0.7"
"    $15,000 to $24,999","25,430","±3,277","9.4%","±1.2","12,858","±2,224","8.9%","±1.5","12,572","±2,342","9.9%","±1.8"
"    $25,000 to $34,999","31,144","±2,967","11.5%","±1.0","15,059","±2,238","10.4%","±1.5","16,085","±1,929","12.6%","±1.4"
"    $35,000 to $49,999","48,080","±4,002","17.7%","±1.4","25,776","±2,766","17.8%","±1.8","22,304","±2,442","17.5%","±1.8"
"    $50,000 to $64,999","46,121","±3,423","17.0%","±1.2","23,731","±2,847","16.4%","±1.9","22,390","±2,185","17.6%","±1.7"
"    $65,000 to $74,999","20,378","±2,276","7.5%","±0.8","9,211","±1,738","6.4%","±1.1","11,167","±1,537","8.8%","±1.1"
"    $75,000 to $99,999","34,478","±3,198","12.7%","±1.1","17,458","±2,154","12.1%","±1.5","17,020","±2,225","13.4%","±1.7"
"    $100,000 or more","57,304","±3,738","21.1%","±1.4","36,441","±2,893","25.2%","±1.9","20,863","±1,905","16.4%","±1.6"
"Median earnings (dollars) for full-time, year-round workers with earnings","56,318","±1,837","(X)","(X)","57,769","±4,162","(X)","(X)","54,394","±3,973","(X)","(X)"
"Mean earnings (dollars) for full-time, year-round workers with earnings","79,642","±3,349","(X)","(X)","89,402","±5,098","(X)","(X)","68,558","±2,952","(X)","(X)"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 25 years and over with earnings","47,602","±1,910","(X)","(X)","51,006","±1,086","(X)","(X)","44,886","±1,560","(X)","(X)"
"        Less than high school graduate","23,842","±3,597","(X)","(X)","30,776","±5,282","(X)","(X)","18,296","±3,220","(X)","(X)"
"        High school graduate (includes equivalency)","29,435","±2,790","(X)","(X)","32,046","±3,304","(X)","(X)","22,283","±2,128","(X)","(X)"
"        Some college or associate's degree","35,629","±1,751","(X)","(X)","41,765","±3,622","(X)","(X)","30,767","±1,573","(X)","(X)"
"        Bachelor's degree","61,907","±2,007","(X)","(X)","71,526","±3,634","(X)","(X)","56,854","±4,414","(X)","(X)"
"        Graduate or professional degree","71,898","±2,577","(X)","(X)","81,589","±6,464","(X)","(X)","66,688","±4,563","(X)","(X)"
