"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"Total population","683,015","±2,627","(X)","(X)","329,816","±2,890","(X)","(X)","353,199","±3,011","(X)","(X)"
"AGE","","","","","","","","","","","",""
"    Under 5 years","33,435","±1,739","4.9%","±0.3","16,645","±1,074","5.0%","±0.3","16,790","±1,343","4.8%","±0.4"
"    5 to 9 years","28,519","±2,362","4.2%","±0.3","14,194","±1,552","4.3%","±0.5","14,325","±1,672","4.1%","±0.5"
"    10 to 14 years","25,703","±2,036","3.8%","±0.3","12,572","±1,317","3.8%","±0.4","13,131","±1,842","3.7%","±0.5"
"    15 to 19 years","49,979","±2,712","7.3%","±0.4","24,883","±1,919","7.5%","±0.6","25,096","±1,426","7.1%","±0.4"
"    20 to 24 years","70,565","±2,173","10.3%","±0.3","33,817","±1,840","10.3%","±0.5","36,748","±1,187","10.4%","±0.3"
"    25 to 29 years","95,020","±1,605","13.9%","±0.2","47,205","±1,116","14.3%","±0.3","47,815","±993","13.5%","±0.3"
"    30 to 34 years","70,812","±1,980","10.4%","±0.3","35,307","±1,376","10.7%","±0.4","35,505","±1,291","10.1%","±0.4"
"    35 to 39 years","47,585","±2,895","7.0%","±0.4","23,026","±1,888","7.0%","±0.6","24,559","±1,948","7.0%","±0.5"
"    40 to 44 years","37,384","±2,824","5.5%","±0.4","19,032","±1,949","5.8%","±0.6","18,352","±1,970","5.2%","±0.6"
"    45 to 49 years","37,231","±1,429","5.5%","±0.2","18,388","±908","5.6%","±0.3","18,843","±983","5.3%","±0.3"
"    50 to 54 years","38,417","±1,132","5.6%","±0.2","18,173","±973","5.5%","±0.3","20,244","±744","5.7%","±0.2"
"    55 to 59 years","36,823","±2,806","5.4%","±0.4","17,940","±1,727","5.4%","±0.5","18,883","±1,792","5.3%","±0.5"
"    60 to 64 years","31,558","±2,702","4.6%","±0.4","14,840","±1,722","4.5%","±0.5","16,718","±1,632","4.7%","±0.5"
"    65 to 69 years","24,237","±1,891","3.5%","±0.3","10,169","±1,130","3.1%","±0.3","14,068","±1,232","4.0%","±0.4"
