"Label (Grouping)","Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Male!!Estimate","Boston city, Massachusetts!!Male!!Margin of Error","Boston city, Massachusetts!!Percent Male!!Estimate","Boston city, Massachusetts!!Percent Male!!Margin of Error","Boston city, Massachusetts!!Female!!Estimate","Boston city, Massachusetts!!Female!!Margin of Error","Boston city, Massachusetts!!Percent Female!!Estimate","Boston city, Massachusetts!!Percent Female!!Margin of Error"
"Total population","654,281","±3,543","(X)","(X)","315,141","±3,076","(X)","(X)","339,140","±3,453","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","31,071","±1,483","4.7%","±0.2","16,026","±1,076","5.1%","±0.3","15,045","±1,042","4.4%","±0.3"
"        5 to 9 years","22,536","±2,420","3.4%","±0.4","11,709","±1,684","3.7%","±0.5","10,827","±1,748","3.2%","±0.5"
"        10 to 14 years","31,769","±2,645","4.9%","±0.4","16,911","±1,569","5.4%","±0.5","14,858","±2,084","4.4%","±0.6"
"        15 to 19 years","47,806","±2,535","7.3%","±0.4","23,205","±1,882","7.4%","±0.6","24,601","±1,483","7.3%","±0.4"
"        20 to 24 years","66,430","±1,753","10.2%","±0.3","31,282","±1,274","9.9%","±0.4","35,148","±1,313","10.4%","±0.4"
"        25 to 29 years","79,961","±2,055","12.2%","±0.3","37,613","±1,457","11.9%","±0.4","42,348","±1,141","12.5%","±0.3"
"        30 to 34 years","71,630","±2,166","10.9%","±0.3","35,675","±1,371","11.3%","±0.4","35,955","±1,270","10.6%","±0.4"
"        35 to 39 years","47,232","±3,666","7.2%","±0.6","25,168","±2,362","8.0%","±0.8","22,064","±2,202","6.5%","±0.7"
"        40 to 44 years","38,537","±2,980","5.9%","±0.4","17,509","±2,211","5.6%","±0.7","21,028","±1,938","6.2%","±0.6"
"        45 to 49 years","31,278","±1,974","4.8%","±0.3","15,585","±1,251","4.9%","±0.4","15,693","±1,566","4.6%","±0.5"
"        50 to 54 years","33,966","±1,514","5.2%","±0.2","15,977","±1,125","5.1%","±0.4","17,989","±1,072","5.3%","±0.3"
"        55 to 59 years","35,142","±3,025","5.4%","±0.5","17,199","±1,975","5.5%","±0.6","17,943","±1,766","5.3%","±0.5"
"        60 to 64 years","33,845","±2,970","5.2%","±0.5","15,274","±1,722","4.8%","±0.6","18,571","±1,852","5.5%","±0.5"
"        65 to 69 years","29,746","±1,687","4.5%","±0.3","15,050","±1,480","4.8%","±0.5","14,696","±1,100","4.3%","±0.3"
"        70 to 74 years","20,858","±1,656","3.2%","±0.3","8,329","±1,305","2.6%","±0.4","12,529","±1,353","3.7%","±0.4"
"        75 to 79 years","14,147","±1,632","2.2%","±0.3","6,263","±1,096","2.0%","±0.4","7,884","±1,335","2.3%","±0.4"
"        80 to 84 years","8,217","±1,213","1.3%","±0.2","2,896","±769","0.9%","±0.2","5,321","±1,105","1.6%","±0.3"
"        85 years and over","10,110","±1,436","1.5%","±0.2","3,470","±867","1.1%","±0.3","6,640","±1,196","2.0%","±0.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","54,305","±2,222","8.3%","±0.3","28,620","±1,583","9.1%","±0.5","25,685","±1,651","7.6%","±0.5"
"        15 to 17 years","15,369","±1,539","2.3%","±0.2","8,013","±1,018","2.5%","±0.3","7,356","±971","2.2%","±0.3"
"        Under 18 years","100,745","±2,966","15.4%","±0.4","52,659","±2,219","16.7%","±0.7","48,086","±2,246","14.2%","±0.6"
"        18 to 24 years","98,867","±1,683","15.1%","±0.2","46,474","±1,267","14.7%","±0.4","52,393","±1,004","15.4%","±0.3"
"        15 to 44 years","351,596","±3,266","53.7%","±0.4","170,452","±2,123","54.1%","±0.5","181,144","±2,343","53.4%","±0.6"
"        16 years and over","564,064","±3,771","86.2%","±0.4","268,481","±3,016","85.2%","±0.7","295,583","±2,928","87.2%","±0.6"
