Label (Grouping),"Boston city, Massachusetts!!Total!!Estimate","Boston city, Massachusetts!!Total!!Margin of Error","Boston city, Massachusetts!!Percent!!Estimate","Boston city, Massachusetts!!Percent!!Margin of Error","Boston city, Massachusetts!!Households receiving food stamps/SNAP!!Estimate","Boston city, Massachusetts!!Households receiving food stamps/SNAP!!Margin of Error","Boston city, Massachusetts!!Percent households receiving food stamps/SNAP!!Estimate","Boston city, Massachusetts!!Percent households receiving food stamps/SNAP!!Margin of Error","Boston city, Massachusetts!!Households not receiving food stamps/SNAP!!Estimate","Boston city, Massachusetts!!Households not receiving food stamps/SNAP!!Margin of Error","Boston city, Massachusetts!!Percent households not receiving food stamps/SNAP!!Estimate","Boston city, Massachusetts!!Percent households not receiving food stamps/SNAP!!Margin of Error"
Households,"2,71,941","±4,553",(X),(X),"54,633","±4,059",20.10%,±1.5,"2,17,308","±5,585",79.90%,±1.5
    With one or more people in the household 60 years and over,"85,631","±3,391",31.50%,±1.0,"23,253","±2,822",42.60%,±3.7,"62,378","±3,182",28.70%,±1.2
    No people in the household 60 years and over,"1,86,310","±3,674",68.50%,±1.0,"31,380","±2,892",57.40%,±3.7,"1,54,930","±4,569",71.30%,±1.2
    HOUSEHOLD TYPE,,,, ,,,,,,,,
    Married-couple family,"74,624","±4,000",27.40%,±1.4,"11,521","±1,947",21.10%,±3.4,"63,103","±3,830",29.00%,±1.5
    Other family:,"46,912","±3,070",17.30%,±1.1,"21,932","±2,337",40.10%,±3.5,"24,980","±2,607",11.50%,±1.1
"        Male householder, no spouse present","10,437","±1,830",3.80%,±0.7,"2,648",±901,4.80%,±1.6,"7,789","±1,656",3.60%,±0.8
"        Female householder, no spouse present","36,475","±2,744",13.40%,±1.0,"19,284","±2,295",35.30%,±3.5,"17,191","±2,259",7.90%,±1.0
    Nonfamily households,"1,50,405","±4,738",55.30%,±1.5,"21,180","±2,827",38.80%,±3.6,"1,29,225","±4,418",59.50%,±1.7
    With children under 18 years,"54,072","±3,313",19.90%,±1.2,"21,693","±2,314",39.70%,±3.7,"32,379","±2,720",14.90%,±1.1
        Married-couple family,"27,651","±2,710",10.20%,±1.0,"6,782","±1,456",12.40%,±2.6,"20,869","±2,329",9.60%,±1.0
        Other family:,"25,832","±2,276",9.50%,±0.8,"14,830","±1,978",27.10%,±3.4,"11,002","±1,579",5.10%,±0.7
"            Male householder, no spouse present","3,848","±1,110",1.40%,±0.4,"1,434",±748,2.60%,±1.4,"2,414",±823,1.10%,±0.4
"            Female householder, no spouse present","21,984","±2,109",8.10%,±0.8,"13,396","±1,907",24.50%,±3.3,"8,588","±1,437",4.00%,±0.6
        Nonfamily households,589,±634,0.20%,±0.2,81,±137,0.10%,±0.3,508,±622,0.20%,±0.3
